Hotel_Description,Hotel_Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Hotel_Type
Bangalows,SAL ROCK FALLS,"376/5, ARANYA ROAD, SPRING HILL ESTATE, BOWALAWATTE, KANDY",4,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,NULL,NULL,Luxury
Bangalows,MOUNTAIN ROCK HOLIDAY RESORT,"NO.202/3,BOWELAWATTA,KANDY",2,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.617917,7.260512,Comfort
Bangalows,SUNTOP INN,"NO 18,POLICE ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL,Comfort
Bangalows,FREEDOM GUEST INN,"132/1,SAPUMALTHANNA,PASSARA ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL,Budget
Bangalows,ROCK VIEW,"ROCK VIEW GUEST HOUSE,ELLA",5,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL,Budget
Bangalows,SANROCK,"NO 9, RATHNAGIRI WATTA, ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL,Luxury
Bangalows,BACK OF BEYOND PIDURANGALA,"KURULU UYANA, TEMPLE ROAD, PIDURANGALA, SIGIRIYA",4,SUPERIOR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.763529,7.969325,Luxruy
Bangalows,BACK OF BEYOND DEHIGAHA ELA,"ALAKOLAWEWA, DEHIGAHA ELA, SIGIRIYA",4,DELUXE,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.787916,7.914324,Comfort
Bangalows,THE NEW LAND GUEST,"283,MAIN ROAD,KALKUDAH.",8,STANDARD,Batticaloa,Koralai Pattu,Koralai Pattu Divisional Secretariat,81.553927,7.897904,Comfort
Bangalows,KANDANA REST,"117/A/4(27), DE MAZENOD COLLEGE ROAD, HAPUGODA, KANDANA",2,STANDARD,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,NULL,NULL,Budget
Bangalows,SIMLA INN,"PASSIKUDAH ROAD, KALKUDAH",8,STANDARD,Batticaloa,Batticaloa,Valaichchenai Divisional Secretariat,81.554464,7.920843,Budget
Bangalows,NEW REST INN,"PASSIKUDAH ROAD, KALKUDAH",4,STANDARD,Batticaloa,Batticaloa,Valaichchenai Divisional Secretariat,NULL,NULL,Luxury
Bangalows,WHITE HOUSE FAMILY STAY,"GREEN VILLAGE, WELAGANE, MASPOTHA,KURUNEGALA",3,DELUXE,Kurunegala,Kurunegala,Maspotha Divisional Secretariat,NULL,NULL,Luxury
Bangalows,BLUE WATER VILLA,"318, DAMPE ROAD, PILIYANDALA",5,DELUXE,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.913509,6.785133,Comfort
Bangalows,TROPICAL RETREAT,"NO 182, HEENATIGALA ROAD, UNAWATUNA, GALLE",5,DELUXE,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.254688,6.020797,Comfort
Bangalows,UVA BEN HEAD PLANTATION (LOWER) BUNGALOW,"UVA BEN HEAD ESTATE, WELIMADA",4,DELUXE,Badulla,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,NULL,NULL,Budget
Bangalows,PLANTERS BUNGALOW,"10 MILE POST, UVA- KARADAGOLLA, ELLA",6,DELUXE,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.07644,6.831055,Budget
Bangalows,AMBASEWANA MANSION,"NO 05, THOTAMUNA ROAD, THOTAMUNA, MATARA",4,DELUXE,Matara,Matara,Matara Divisional Secretariat,80.541717,5.944455,Luxury
Bangalows,SCOTTISH PLANTER GLENDEVON BUNGALOW,"RAGALA, HALGRAN OYA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Walapane Divisional Secretariat,NULL,NULL,Luxruy
Bangalows,LESPRI GRAND,"35, KIMBULAPITIYA ROAD, THELWATHTHA JUNCTION, NEGOMBO",8,DELUXE,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL,Comfort
Bangalows,THE FERN COVE,"270/4, MEEPILIMANA, NUWARAELIYA",4,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,NULL,Comfort
Bangalows,GREEN VIEW GUEST,"GREEN VIEW GUEST,ELLA.",6,STANDARD,Badulla,Bandarawela Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL,Budget
Bangalows,BUNGALOW 1926,"NO.20, CROSS STREET, NUWARA ELIYA",3,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.76542,6.977103,Budget
Bangalows,P.G.C. RESIDENCE,"271, ELAGOLLA WATTA, HEERASSAGALA, KANDY",5,DELUXE,Kandy,Gagawata Koralya,Gagawata,80.619967,7.268558,Luxury
Bangalows,SUBASHRI,"SUBASHRI, QUAILS RIDGE, VICTORIA GOLF & COUNTRY RESORT, DIGANA, KANDY",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.765034,7.267648,Luxury
Bangalows,BELLA CASA,"9/2, 4TH LANE, RATMALANA",3,STANDARD,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,79.878536,6.817599,Comfort
Bangalows,ELADETTA WALAUWA,"ELADETTA ESTATE, HANDESSA, KANDY",5,DELUXE,Kandy,Udunuwara Pradeshiya Sabha,Kandy Divisional Secretariat,80.578203,7.21801,Comfort
Bangalows,RIVER EDGE BUNGALOW,"WARAPITIYA ROAD,KATUDENIYA,MATALE",3,SUPERIOR,Matale,Matale,Rattota Divisional Secretariat,80.644202,7.430442,Budget
Bangalows,VISAL BUNGALOWS,"1/116, LAKE SIDE AVENUE, VICTORIYA RANGE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL,Budget
Bangalows,VISAL BUNGALOWS,"2/259, LOTUS AVENUE, VICTORIA RANGE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.729544,7.287538,Luxury
Bangalows,N AND N VILLA,"246, LOTUS VICTORIA AVENUE, KENGALLA",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL,Luxruy
Bangalows,ROBERT RESIDENCE,"NO. 12/7, ROBERT GUNAWARDENA MAWATHA, COLOMBO 06",3,SUPERIOR,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.876095,6.877735,Comfort
Bangalows,CASSIA HILL,"WERAHERAWATTA,MEEPE,HABARADUWA,GALLE.",4,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.289822,6.018153,Comfort
Bangalows,GIRIULLA MAOYA ELEPHANT VILLA,"UDARA STATE, MASNORUWA, GIRIULLA",3,SUPERIOR,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.150604,7.192303,Budget
Bangalows,DEEP BLUE,"39/3, POLHENA ROAD, POLHENA, MATARA",5,SUPERIOR,Matara,Matara,Matara Divisional Secretariat,80.525786,5.940061,Budget
Bangalows,RIVERS EDGE,"NO:11, PANAPITIYA, KARANDENIYA",3,SUPERIOR,Galle,MC,Karandeniya Divisional Secretariat,NULL,NULL,Luxury
Bangalows,EAGAL'S NEST,"BUONA VISTA, UNAWATUNA, GALLE",4,SUPERIOR,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.241193,6.021211,Luxury
Bangalows,BENI BEACH RESORT,"NO.5/8A,8TH CROSS, THIRUCHENTHUR ROAD,KALLADY,BATTICALOA.",4,STANDARD,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.713547,7.721915,Comfort
Bangalows,OLIVE GREEN RESORT,"NO.96,NEW DUTCH BAR ROAD,KALLADY,BATTICALOA.",4,STANDARD,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.712474,7.723162,Comfort
Bangalows,BONGO STAY,"11, BOYD PLACE, COLOMBO 03",5,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.85455,6.913767,Budget
Bangalows,CHAMELIA,"WATTAHERIYA WATTA,BALLAKETUWA ROAD,ELLA",5,SUPERIOR,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL,Budget
Bangalows,LA- MONTANA RESORT,"""DISNA""KITHAL-ELLA,ELLA",3,SUPERIOR,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL,Luxury
Bangalows,VILLA RAHA,"33, MCLEOD ROAD, BAMBALAPITIYA, COLOMBO 04",7,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.860711,6.884798,Luxruy
Bangalows,ANYAA LIFESTYLE,"HELENA MAWATHA, WENNAPUWA.",4,SUPERIOR,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.839299,7.337334,Comfort
Bangalows,PLANTAGE,"PALLIWASAL PADUWA, KOTTANTIVE",4,STANDARD,Puttalam,Kalpitiya Pradeshiya Sabha,Mundalama Divisional Secretariat,NULL,NULL,Comfort
Bangalows,TASKANS VILLA,"30/17,CROCKTAIN MAWATHA, HEKITHTHA, WATTALA",5,DELUXE,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,NULL,NULL,Budget
Bangalows,HOTEL SISIL THERA,"NO:558/A, D.S SENANAYAKE MAWATHA, STAGE TOWN, ANURADHAPURA",4,STANDARD,Anuradhapura,Anuradhapura,Anuradhapura East,80.396271,8.319266,Budget
Bangalows,VILLA VISTA,"MIHIRI KANDA WATTA, HENWALA, MIRISSA",4,DELUXE,Matara,Weligama,Weligama Divisional Secretariat,NULL,NULL,Luxury
Bangalows,HAGGAI TOURIST BUNGALOW,"NO 20, HALGASWATTE LANE, KIRULAPONE, COLOMBO 06",5,DELUXE,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,NULL,NULL,Luxury
Bangalows,GULANAHENA TEA ESTATE BUNGALOW,"GULANAHENA TEA ESTATE,NILGAHAHENA,THINIYAWALA",3,STANDARD,Kalutara,Palindanuwara Pradeshiya Sabha,Palindanuwara Divisional Secretariat,80.321286,6.404352,Comfort
Bangalows,KORAGAHA LODGE,"23, KORAGAHA ULPATHA, RANAKELIYA, TISSAMAHARAMA",4,DELUXE,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.332646,6.239433,Comfort
Bangalows,THISARA HOLIDAY BUNGALOW,"NO83,CONTINENTAL RESIDENSIES,ADNEWS ROAD,PERIYAMULLA,NEGAMBO",4,DELUXE,Gampaha,Negombo,Gampaha Divisional Secretariat,NULL,NULL,Budget
Bangalows,KURULU ESTATE,"KURUNDU WATTHA, NAGASPOLA,RAKWANA",2,STANDARD,Ratnapura,Ratnapura,Godakawela Divisional Secretariat,80.643837,6.502264,Budget
Bangalows,STAFFORD BUNGALOW,"HALGRANOYA,RAGALA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Walapane Divisional Secretariat,80.857195,7.011928,Luxury
Bangalows,SANCHAREE MOUNTAIN VIEW BUNGALOW,"SANASA HOLIDAY RESORT, NO. 495, KANDY ROAD, TOP PASS, NUWARA ELIYA",5,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.748229,6.990895,Luxruy
Bangalows,NERALU UYANA VILLAS,"NERALU UYANA ESTATE, NARAWALA, THALGASYAYA, AKMEEMANA, GALLE",1,STANDARD,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.243823,6.099019,Comfort
Bangalows,VILLA SUKUM,"18, QUAILS RIDGE, VICTORIA GOLF CLUB,DIGANE",6,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.7742644,7.2650791,Comfort
Bangalows,SKY TERRACE KANDY,20/4 A.B DAMUNUPOLA MAWATHA KANDY,6,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL,Budget
Bangalows,HAWALLI VILLA,"492/2, PERADENIYA ROAD, KANDY",2,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.621635,7.282176,Budget
Bangalows,COZY NEST,"9, UPPER DICKSON ROAD, GALLE",2,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.218819,6.038124,Luxury
Bangalows,PITTANIYA VILLA,"37/14, DAMRUWAN MAWATHA, MIHIRIPENNA, THALPE, GALLE",3,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.27095,6.001739,Luxury
Bangalows,WELIGAMA GEDARA,"NO 5/6, BANDARANAYAKA MAWATHA, HETTIWEEDIYA, WELIGAMA",3,STANDARD,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.428849,5.977378,Comfort
Bangalows,APPAS BREEZY HOME STAY,"15, PUTHU MUGATHUWARAM,BATTICALOA",2,STANDARD,Batticaloa,Batticaloa,Manmunai North Divisional Secretariat,81.67473,7.730997,Comfort
Bangalows,HOTEL TOBIKO,"NO 24, MURUGAPURI ROAD, UPPUVELI, TRINCOMALEE",4,SUPERIOR,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.219524,8.601562,Budget
Bangalows,SAFE HEAVEN FAMILY VILLA,"29/248 SHANTHA KUMAR RANASINGHE MW, AMPITIYA RD, KANDY",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.651097,7.283451,Budget
Bangalows,"SPD BUNGALOW ""WATAWALA LASSANA""","MISTY RANGES, HATTON ROAD, WATAWALA.",5,STANDARD,Nuwara Eliya,Ginigathhena,Ambagamuwa Divisional Secretariat,80.546785,6.9323964,Luxury
Bangalows,VILLA KANCHANA,"WELIKADE,MUHUDU MAWATHA,THALARAMBE,KAMBURUGAMUWA,MATARA",5,DELUXE,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.493827,5.948646,Luxruy
Bangalows,VILLA SEVEN,"NO:07(332/1),JUBILEE LANE,WALANA,PANADURA",3,SUPERIOR,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.905723,6.730944,Comfort
Bangalows,SERENE VILLA,"245/55 BATUGEDARA MAIN ROAD,RATNAPURA",4,SUPERIOR,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,80.417443,6.675483,Comfort
Bangalows,SP TOURS AND REST,"NO:873, HOSPITAL ROAD, JAFFNA",5,STANDARD,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.009362,9.667259,Budget
Bangalows,MARGOSA,"STATION ROAD, URELU NORTH, CHUNNAKAM, JAFFNA",5,DELUXE,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.033083,9.746404,Budget
Bangalows,PERERA HOME,"133, 16TH LANE,LAKE CITY HOME, JA ELA",3,SUPERIOR,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,80.031847,7.166809,Luxury
Bangalows,RANNA HOUSE BY FOX RESORT,"NO 2 MODARA ROAD,KAHADAMODARA,RANNA,TANGALLE.",3,DELUXE,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.895067,6.063352,Luxury
Bangalows,AMBANWALA TOURIST BUNGALOW,"NO 56 AMBANWALA WALAWWA,AMBANWALA,WELAMBODA",4,STANDARD,Kandy,Uhana Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.544006,7.216776,Comfort
Bangalows,SIHINAYA VILLA,"273,KAPPARATOTA ROAD, KAPPARATOTA,WELIGAMA.",4,DELUXE,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.41658,5.958281,Comfort
Bangalows,RIVERSIDE SUITES,"52 DUTUGEMUNU MAWATHA, LEWELLA, KANDY",4,DELUXE,Kandy,Kandy,Kundasale Divisional Secretariat,80.651649,7.302483,Budget
Bangalows,SAKURA HANA,"NO/34,,PATHMINI PERIS MAWATHA,ALUTHGAMA",3,SUPERIOR,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.99749,6.428556,Budget
Bangalows,HOME FROM HOME,"NO 42/2,RUPASIRI MAWATHA,MIRIHANA NUGEGODA",3,DELUXE,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,79.899679,6.864908,Luxury
Bangalows,MOUNTAIN VILLA RIVERSTON,"PITAWALA,ILLUKKUMBURA,MATALE",3,DELUXE,Matale,Matale,Laggala-Pallegama Divisional Secretariat,80.753128,7.547738,Luxruy
Bangalows,KAYJAY BEACH HOUSE,"OLD PASSIKUDHA ROAD,PASSIKUDHA",6,SUPERIOR,Batticaloa,Kalkudha,Valaichchenai Divisional Secretariat,81.569541,7.919074,Comfort
Bangalows,HEAVEN BY O,"24/4,YADDEHIMULLA ROAD, UNAWATUNA,GALLE",8,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.244031,6.010155,Comfort
Bangalows,ANGEL TOWER,"NO 78/8A ,2ND LANE, HEERASSAGALA, KANDY,HEERASSAGALA ROAD,KANDY",4,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.633726,7.290572,Budget
Bangalows,ROBI GARDEN VILLA,"108,KATANA ROAD,THIMBIRIGASKATUWA, NEGAMBO, SRI-LANKA",4,DELUXE,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,79.858999,7.228002,Budget
Bangalows,MADUSANKA HOLYDAY HOME,"NO 15, DIGANA, RAJAWELLA,,",8,STANDARD,Kandy,Kundasle,Kundasale Divisional Secretariat,80.735452,7.296389,Luxury
Bangalows,PEACE HAVEN RESORTS LIMITED,"GOYAMBOKKA, TANGALLE.",3,DELUXE,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,NULL,NULL,Luxury
Bangalows,FRENCH LOTUS,"YADDEHIMULLA ROAD,,UNAWATUNA BEACH,,GALLE.",5,DELUXE,Galle,Habaraduwa,Galle Divisional Secretariat,80.242874,6.010178,Comfort
Bangalows,MONERATENNA,"BACK OF BEYOND,WARNAKULASURIYA MAWATHA,KAHANDAMODARA,RANNA.",7,DELUXE,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.891513,6.069909,Comfort
Bangalows,JOYOUS COTTAGE,"NO:62,NEELAMMAHARA ROAD, MAHARAGAMA",6,DELUXE,Colombo,Maharagama,Maharagama Divisional Secretariat,79.926314,6.837627,Budget
Bangalows,POKKULUWA TEA COTTAGE,"POKKULUWA TEA COTTAGE,POKKULUWA ESTATE,HAPPAWANA WANCHAWALA 80120 GALLE",2,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL,Budget
Bangalows,AVI GIL VILLAS PRIVATE LIMITED,"THE NUGA HOUSE,WELI ROAD, KABALANA, AHANGAMA,GALLE",6,SUPERIOR,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL,Luxury
Bangalows,TARU VILLAS-RIVER COTTAGE,"111,BENTOTA CIRCULAR ROAD, BENTOTA 80500",2,DELUXE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.005979,6.418918,Luxruy
Classified Hotels( 1-5 Star),CINNAMON GRAND HOTEL,"NO. 77, GALLE ROAD, COLOMBO 03",501,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.849235,6.918034,Comfort
Classified Hotels( 1-5 Star),CINNAMON LAKESIDE COLOMBO,"115, SRI CHITAMPALAM A GARDINER MAWATHA, COLOMBO 02",352,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.849414,6.929273,Comfort
Classified Hotels( 1-5 Star),CINNAMON LODGE,"P.O. BOX 02, HABARANE",162,FIVE,Anuradhapura,Anuradhapura,Anuradhapura East,80.74881,8.034584,Budget
Classified Hotels( 1-5 Star),GALADARI HOTEL,"NO. 64, LOTUS ROAD, COLOMBO 01",408,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.843155,6.931679,Budget
Classified Hotels( 1-5 Star),EDEN RESORTS AND SPA,"KALUWAMODARA, BERUWALA",158,FIVE,Kalutara,Kalutara Pradeshiya Sabha,Kalmunai Divisional Secretariat,79.990213,6.444585,Luxury
Classified Hotels( 1-5 Star),HERITANCE KANDALAMA,"P.O. BOX 11, DAMBULLA.",162,FIVE,Matale,Matale,Matale Divisional Secretariat,80.70784,7.871055,Luxury
Classified Hotels( 1-5 Star),TAJ SAMUDRA HOTEL,"NO. 25, GALLE FACE CENTER ROAD, COLOMBO 03",291,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.846841,6.922654,Comfort
Classified Hotels( 1-5 Star),EARLS REGENCY HOTEL,"TENNEKUMURA, KANDY",96,FIVE,Kandy,Kandy,Kandy Divisional Secretariat,80.669495,7.281795,Comfort
Classified Hotels( 1-5 Star),HILTON-COLOMBO,"LOTUS ROAD,ECHELON SQUARE,COLOMBO 01",382,FIVE,Colombo,Colombo,Colombo Divisional Secretariat,79.845193,6.932248,Budget
Classified Hotels( 1-5 Star),MAHAWELI REACH HOTEL,"35,P.B.A. WEERAKOON MAWATHA, KANDY",116,FIVE,Kandy,Kandy,Kandy Divisional Secretariat,80.631227,7.325148,Budget
Classified Hotels( 1-5 Star),CHAAYA BLU,"UPPAVELI, TRINCOMALEE",56,FOUR,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.217522,8.617773,Luxury
Classified Hotels( 1-5 Star),HABARANA VILLAGE BY CINNAMON,"P.O. BOX. 01, HABARANA.",108,FOUR,Anuradhapura,Hingurakgoda Pradeshiya Sabha,Polonnaruwa Divisional Secretariat,80.74991,8.036549,Luxruy
Classified Hotels( 1-5 Star),CINNAMON CITADEL,"NO.124, SRIMATH KUDA RATWATTA MAWATHA, KANDY",121,THREE,Kandy,Kandy,Kandy Divisional Secretariat,80.624274,7.305864,Comfort
Classified Hotels( 1-5 Star),HERITANCE AHUNGALLE,AHUNGALLE,154,FIVE,Galle,Galle,Galle Divisional Secretariat,80.034536,6.31218,Comfort
Classified Hotels( 1-5 Star),HERITANCE TEA FACTORY,"KANDAPOLA, NUWARAELIYA",57,FOUR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.833796,6.991101,Budget
Classified Hotels( 1-5 Star),BENTOTA BEACH HOTEL,"NATIONAL HOLIDAY RESORT, BENTOTA",133,FOUR,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996543,6.424974,Budget
Classified Hotels( 1-5 Star),THE BLUE WATER,"THALPITIYA, WADDUWA",100,FIVE,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.920159,6.678167,Luxury
Classified Hotels( 1-5 Star),GRAND HOTEL,"GRAND HOTEL ROAD, NUWARAELIYA",155,FOUR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764731,6.968335,Luxury
Classified Hotels( 1-5 Star),AMAYA LAKE,"P.O. BOX. 12, KANDALAMA, DAMBULLA",92,FOUR,Matale,Matale,Matale Divisional Secretariat,80.698555,7.891526,Comfort
Classified Hotels( 1-5 Star),AMAYA HILLS,"P.O. BOX. 16, HEERASSAGALA, KANDY",100,FOUR,Kandy,Kandy,Kandy Divisional Secretariat,80.619224,7.259008,Comfort
Classified Hotels( 1-5 Star),HILTON COLOMBO RESIDENCE,"NO. 200, UNION PLACE, COLOMBO 02",176,FOUR,Colombo,Colombo,Colombo Divisional Secretariat,79.856131,6.920386,Budget
Classified Hotels( 1-5 Star),MANDARA ROSEN HOTEL,"NO.57, DETAGAMUWA, KATARAGAMA",58,FOUR,Moneragala,Galle,Moneragala Divisional Secretariat,81.326364,6.401201,Budget
Classified Hotels( 1-5 Star),RAMADA - COLOMBO,"NO.30, SIR MOHAMED MACAN MARKAR MAWATHA, COLOMBO 03",94,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.84778,6.921261,Luxury
Classified Hotels( 1-5 Star),PEGASUS REEF HOTEL,"P.O.BOX. 02, HENDALA, WATTALA",140,FOUR,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.868917,6.999892,Luxruy
Classified Hotels( 1-5 Star),MOUNT LAVINIA HOTEL,"NO. 100, HOTEL ROAD, MT. LAVINIA",204,FOUR,Colombo,Colombo,Colombo Divisional Secretariat,79.862043,6.833151,Comfort
Classified Hotels( 1-5 Star),CLUB PALM BAY,"THALWILAWILIA, THUDUWAWA, MARAWILA",162,THREE,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,79.812589,7.434188,Comfort
Classified Hotels( 1-5 Star),CLUB HOTEL DOLPHIN,"KAMMAL SOUTH, WAIKKAL",151,FOUR,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.839576,7.293789,Budget
Classified Hotels( 1-5 Star),JETWING BLUE,"LEWIS PLACE, NEGOMBO",108,FIVE,Gampaha,Negombo,Negombo Divisional Secretariat,79.841797,7.241616,Budget
Classified Hotels( 1-5 Star),THE DEER PARK HOTEL,"GIRITALE, POLONNARUWA",85,FOUR,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.9218,7.989152,Luxury
Classified Hotels( 1-5 Star),NILAVELI BEACH HOTEL,"11TH MILE POST, NILAVELI, TRINCOMALEE",53,TWO,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.189426,8.706269,Luxury
Classified Hotels( 1-5 Star),SOROWWA RESORT AND SPA,"LAKE ROAD, HABARANE",23,THREE,Anuradhapura,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.7508775,8.0405578,Comfort
Classified Hotels( 1-5 Star),PALM BEACH HOTEL,"NO. 52, DE SERAM ROAD, MOUNT LAVINIA",43,ONE,Colombo,Dehiwala-Mount Lavinia,Colombo Divisional Secretariat,79.864858,6.836241,Comfort
Classified Hotels( 1-5 Star),GALWAY FOREST LODGE,"NO. 89, UPPER LAKE ROAD, HAVELOCK DRIVE, NUWARA ELIYA.",52,THREE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.769993,6.980005,Budget
Classified Hotels( 1-5 Star),SENANI RESTAURANT,"NO 167, RAJAPIHILLA MAWATHA, KANDY.",27,ONE,Kandy,Kandy,Kandy Divisional Secretariat,80.643433,7.285218,Budget
Classified Hotels( 1-5 Star),GLOBAL TOWERS HOTEL,"NO.11, STATION AVENUE, COLOMBO 06.",54,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.857182,6.877516,Luxury
Classified Hotels( 1-5 Star),HUNNAS FALLS HOTEL,"ELKADUWA, KANDY",31,THREE,Matale,Matale,Ukuwela Divisional Secretariat,80.690599,7.401023,Luxruy
Classified Hotels( 1-5 Star),GRAND ORIENTAL HOTEL,"NO.2, YORK STREET, COLOMBO 01.",72,TWO,Colombo,Colombo,Colombo Divisional Secretariat,79.845067,6.937474,Comfort
Classified Hotels( 1-5 Star),OLENKA SUNSIDE BEACH HOTEL,"THALWILA, MODERAWELLA, MARAWILA",40,TWO,Puttalam,Gampaha,Gampaha Divisional Secretariat,79.813377,7.42604,Comfort
Classified Hotels( 1-5 Star),HOTEL SIGIRIYA,SIGIRIYA,80,ONE,Matale,Matale,Matale Divisional Secretariat,80.763363,7.949891,Budget
Classified Hotels( 1-5 Star),THE OASIS HOTEL,"SISILASGAMA, HAMBANTOTA.",50,THREE,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.123001,6.122001,Budget
Classified Hotels( 1-5 Star),ST.ANDREWS HOTEL,"NO.10,ST.ANDREWS DRIVE,NUWARA ELIYA.",52,THREE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.763855,6.979589,Luxury
