Hotel_Description,Hotel_Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Hotel_Type
Guest Houses,SANDARASI INN,"NO:109/6,RAILWAY AVENUE,MAHARAGAMA",13,B,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL,Budget
Guest Houses,THE M G S HOTEL,"NO:283/A2,PUBUDU MAWATHA, ELPITIYA",6,A,Galle,Galle,Elpitiya Divisional Secretariat,80.162979,6.286796,Luxury
Guest Houses,MIHILIYA GUEST HOUSE,"NO:420/B,A9 ROAD,OLUKARANDA,KEKIRAWA",5,B,Anuradhapura,Anuradhapura,Anuradhapura East,NULL,NULL,Luxury
Guest Houses,SAMANALA HOTEL,"PUTTLAM ROAD,NOCHCHIYAGAMA",13,A,Anuradhapura,Anuradhapura,Anuradhapura East,NULL,NULL,Comfort
Guest Houses,ICE AGE HOTEL AND RESTURANT,"359,GALLE ROAD,BALAPITIYA",6,A,Galle,balapitiya,Balapitiya Divisional Secretariat,80.035357,6.267228,Comfort
Guest Houses,HOTEL WEWALA BEACH,"NO. 380, GALLE ROAD, HIKKADUWA",20,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.101644,6.130476,Budget
Guest Houses,HABARADUWA HOUSE VILLA,"HADYWATTA,HABARADUWA,GALLE",5,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL,Budget
Guest Houses,HOTEL SUNRAY,"NO:117/8,ANAGARIKA DHARMAPALA MAWATHA,KANDY",19,A,Kandy,Kandy,Kandy Divisional Secretariat,80.648106,7.293095,Luxury
Guest Houses,ROVINKA HOLIDAY RESORT AND RESTAURANT,"103,SOMARATHANA MAWATHA,BELLANVILA,BORALESGAMUWA",17,A,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL,Luxruy
Guest Houses,ROMAN BEACH,"777/2,THIRANAGAMA,HIKKADUWA",6,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.11307,6.122217,Comfort
Guest Houses,ROMAN LAKE,"GODAGEDARA ROAD,PATHEGAMA,BALAPITIYA",8,A,Galle,Galle,Galle Divisional Secretariat,80.047578,6.296625,Comfort
Guest Houses,HOTEL WEDDING HOUSE HOLIDAY INN,"128/A , MAHABODI MAWATHA, KANDY ROAD, KADAWATHA",14,B,Gampaha,Mahara Pradeshiya Sabha,Gampaha Divisional Secretariat,80.085438,6.543719,Budget
Guest Houses,BAY VISTA HOTEL,"NO:227,MAIN STREET,ARUGAMBAY,ULLA,POTTUVIL",31,A,Ampara,Pottuvil,Pottuvil Divisional Secretariat,81.832278,6.841696,Budget
Guest Houses,D PAVILION INN,"82,STRATFORD AVENUE,COLOMBO 06.",5,A,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,MILANO GRAND NEW REST HOUSE,"50,KANDY ROAD,DAMBULLA",5,A,Matale,Chilaw Pradeshiya Sabha,Dambulla Divisional Secretariat,80.653394,7.886598,Luxury
Guest Houses,HOTEL MAHANUGE,"25TH MILE POST, BENDIWEWA.",12,A,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,THE BLUE BEACH EXOTICAA,"NO 18,MEDA PATUMAGA,THALPITIYA.",12,A,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,NEW RAMADHA GUEST HOUSE,"BATTICALOA ROAD, KADURUWELA.",18,B,Polonnaruwa,Tamankaduwa Pradeshiya Sabha,Thamankaduwa Divisional Secretariat,81.02297,7.938499,Budget
Guest Houses,LAKE VIEW RESTAURANT,"158,KESBEWA.",5,B,Colombo,Kesbewa,Kesbewa Divisional Secretariat,NULL,NULL,Budget
Guest Houses,GAYA FAMILY RESORT,"NO 01,WALAW WATTA,MAWATHAGAMA",8,B,Kurunegala,Mawathagama Pradeshiya Sabha,Mawathagama Divisional Secretariat,80.447656,7.435825,Luxury
Guest Houses,GRINDLAYS REGENCY,"RANWALA ROAD,ALAWATTE,ALAWWA",16,A,Kegalle,WARAKAPOLA,Warakapola Divisional Secretariat,80.243812,7.291324,Luxruy
Guest Houses,LOTUS PARADISE,"PANNALA,GODAGEDARA,BALAPITIYA",8,A,Galle,balapitiya,Ambalangoda Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,OMEEKA RESTAURANT AND HOTEL,"509/2A , SUSILARAMA ROAD, MALABE",5,A,Colombo,Colombo,Colombo Divisional Secretariat,79.964911,6.901956,Comfort
Guest Houses,RANAWARA,"NO:98 , THILAWATANA WATTE , KAHANDA MODARA , RANNA",7,A,Galle,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,NULL,NULL,Budget
Guest Houses,SHINY LAKESIDE RESORT,"MARAGAHA HENA,PUNCHI PATHANA,HIKKADUWA",13,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.119331,6.141849,Budget
Guest Houses,LE REVE DIKKA,"NO.583,GALLE ROAD,NARIGAMA,HIKKADUWA.",5,B,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,SAMROSE HOTEL,"NO.83 POLHENA,MALLAWAGEDARA",5,B,Gampaha,Divulapitiya Pradeshiya Sabha,Divulapitiya Divisional Secretariat,80.021706,7.314503,Luxury
Guest Houses,KALUNDEWA RETREAT,"KALUNDEWA RETREAT, DAMBULU OYA, DAMBULLA",6,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.678874,7.798901,Comfort
Guest Houses,HOTEL MIHINTALE,ANURADHAPURA ROAD MIHINTALE.,10,A,Anuradhapura,Mihintale Pradeshiya Sabha,Mihintale,NULL,NULL,Comfort
Guest Houses,MELBOURNE TOURIST REST,"388/28, HARISCHANDRA MW, STAGE 1, ANURADHAPURA",10,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.41572,8.331264,Budget
Guest Houses,WHITE VILLA RESORT AND RESTAURNT,"22/50,THOTAWATHTHA ROAD,AHUNGALLA.",5,A,Galle,balapitiya,Balapitiya Divisional Secretariat,NULL,NULL,Budget
Guest Houses,DICKMAN RESORT,"NO. 26/7, PORUTHOTA ROAD, NEGOMBO",10,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.843546,7.240904,Luxury
Guest Houses,HOTEL LION NATURE,"DIMBULAMURAYA,ELLA ROAD,WELLAWAYA",7,A,Moneragala,Wellawaya,Moneragala Divisional Secretariat,81.099745,6.750513,Luxruy
