Name,Address,District,AGA Division,PS/MC/UC,,,,
AL - KUBRAAH INTERNATIONAL TOURS & TRAVELS,"NO.155, BEAUTY ARCADE, 2ND FLOOR, MAIN STREET, COLOMBO 11",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LANKA EXHIBITION & CONFERENCE SERVICES (PVT) LTD,"4TH, FLOOR, AUTOMOBILE ASSOCIATION BUILDING, NO:40,SIR MOHOMED MACAN MARKER MAWATHA, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TRAVEL ARCADE HOLIDAYS (PVT) LTD,"NO.102A, HAVELOCK ROAD, COLOMBO 05",Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,,,,
JAGATH TOURS & TRAVELS,"NO.119,""LANKA LANDS"",PEELLAWATTE,ANDIAMBALAMA",Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,,,,
ETHIC INTERNATIONAL TRAVELS (PVT)LTD,"UDESHI CITY COMPLEX,NO.14,MAKOLA ROAD,KIRIBATHGODA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MAC TRAVELS (PVT) LTD,"NO. 141/9, VAUXHALL STREET, COLOMBO -02",Colombo,Colombo,Slave island,,,,
CENTRAL RESERVATION SYSTEMS (PVT)LTD,"NO.105A, DUTUGEMUNU STREET, KALUBOWILA, DEHIWALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HOLIZONE LANKA VACATION PLANNERS,"NO.422 1/1 GALLE ROAD, COLOMBO 06",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
MSA TRAVELS AND TOURS (PVT)LTD,"NO:77, MALIBAN STREET,COLOMBO 11",Colombo,Colombo,Colombo Divisional Secretariat,,,,
BLUE LOTUS TOURS,"NO: 15B, PERAHERA MAWATHA, COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
REAL CEYLON LEISURES & TOURS (PVT) LTD,"NO. 312, 2/1, GALLE ROAD , MOUNT LAVINIA",Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,,,,
BIZNEZ BAZZAR (PVT)LTD,"NO 34, MISSION ROAD, KOTTE",Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,,,,
TRAVEL IN STYLE (PVT) LTD,"NO:16/20,MARCAN MARKAR MAWATHA, GALLE FACE COURT 02,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RELAX LANKA TOURS,"923/C/1-1, CHILAW ROAD, DALUWAKOTUWA, NEGAMBO",Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,,,,
LAKSKY TRAVELS (PVT)LTD,"1A , 1ST FLOOR, JAYANTHIPURA MAIN ROAD, BATTARAMULLA",Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,,,,
MEERA TRAVEL AND TOURS (PVT) LTD,"NO:76A, NEW TOWN ,DIGANA,RAJAWELLA,KANDY",Kandy,Kandy,Kandy Divisional Secretariat,,,,
CEYLON 4 YOU (PVT) LTD,"NO 20/25, FIFE ROAD, COLOMBO - 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
FRONTIER DESTINATIONS (PVT)LTD,"NO 14, 16TH LANE, COLOMBO-03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
BOAZ TOURS (PVT)LTD,"NO.316, GALLE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SRILANKA TRAVELS & TOURS,"NO: 395A, GALLE ROAD, HIKKADUWA",Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,,,,
GABO TRAVELS (PVT) LTD,"NO:11,BAGATALLE ROAD,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
CRYSTAL HOLIDAYS (PVT)LTD,"25 A, DE SARAM ROAD ,OFF COLLEGE AVENUE ,MOUNT LAVINIA",Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,,,,
SHUMS & SONS TRAVELS (PVT) LTD,"NO 33 A, QUEENS ROAD,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ASIAN EXOTICA (PVT) LTD,"BOC MERCHANT TOWER, NO:28, ST.MICHAEL'S ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
CAREEM LANKA TRAVELS & TOURS (PVT) LTD,"NO.95,CHATHAM STREET, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
XIN HOLIDAYS (PVT) LTD,"NO:43/5,SENANAYAKA MAWATHA,NAWALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
PEOPLE'S TRAVELS (PVT)LTD,"NO.59, D.R.WIJEWARDANA MAWATHA,COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MILLENNIUM TRAVELS AND TOURS (PVT) LTD,"NO. 532/3G/1, SIRIKOTHA LANE, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AIR SOLUTIONS (PVT)LTD,"PERSHIP HOUSE,LEVEL 4,35,EDWARD LANE,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
CONSTANT HOLIDAYS (PVT)LTD,"246,PARK ROAD,COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RED APPLE TRAVELS & TOURS (PVT) LTD,"L1-60, REALITY PLAZA, NEGOMBO ROAD, JA-ELA",Gampaha,Gampaha,Ja-Ela Divisional Secretariat,,,,
HILLTOP GLOBAL (PVT) LTD,"HILLTOP HOUSE,NO. 14, 16TH LANE, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HAPPY TRAVELS INTERNATIONAL (PVT) LTD,"NO.247, POLHENGODA ROAD, COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TRAVEL DEVELOPMENT LANKA (PVT) LTD,"ROOM 130,.FIRST FLOOR,GALADARI HOTEL,64,LOTUS ROAD,COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RAFFLES LEISURE (PVT) LTD,"NO 76, S.D.S JAYASINGHE MW, KOHUWELA.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SARINTA TRAVELS AND TOURS (PVT) LTD,"NO . 88 ,JUSTICE AKBAR MAWATHA ,COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
WISDOM TRAVELS AND TOURS INTERNATIONAL (PRIVATE) LTD,"NO:237, VAUXHALL STREET,COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
FLYWING TOURS,"NO.80/B,LUWIS PLACE,NEGOMBO",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
GOLDEN ISLE TRAVELS (PVT) LTD,"M-07, MEZZANINE FLOOR, GALADARI HOTEL, NO. 64, LOTUS ROAD, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SUNCITY TRAVELS & TOURS (PVT) LTD,"NO. 7 1/4A, ORCHARD COMPLEX, GALLE ROAD, COLOMBO 06",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GREENLAND TRAVELS & TOURS,"NO.19/ 1 /B,GALLE FACE TERRACE, GALLE ROAD, COLOMBO 03.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SETMIL AVIATION (PVT)LTD,"SETMIL MARITIME CENTER,256, SRIMATH RAMANATHAN MAWATHA, COLOMBO 15",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AYUBOWAN TRAVELS INTERNATIONAL (PVT) LTD,"NO.49,GEMUNU MAWATHA,HUNUPITIYA,WATTALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LAKPURA TRAVELS (PVT) LTD,"NO.78A,C.P.DE SILVA MAWATHA,KALDEMULLA,MORATUWA.",Colombo,Moratuwa,Moratuwa Divisional Secretariat,,,,
RANFER TRAVELS (PVT) LTD,"NO.36, KETAWALAMULLA PLACE, COLOMBO 09",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TRABANA TOURS (PVT) LTD,"NO. 26C/1, ALWIS PLACE, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
UTOPIA VACATIONS (PVT) LTD,"NO. 82. B/1, BAUDHDHALOKA MAWATHA, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SOFTLOGIC DESTINATION MANAGEMENT (PVT) LTD,"NO. 321 B 1A, LAXSHMAN BUILDING, ST. ANTHONY'S MAWATHA, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
361 DEGREES (PVT) LTD,"NO.41/30, DM COLOAMBAGE MAWATHA, COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ELEPHANT ISLAND (PRIVATE) LTD,"NO. 91/1, RAJAGIRIYA ROAD. RAJAGIRIYA",Colombo,Kotte Muncipal Council,Colombo Divisional Secretariat,,,,
CITY TOURS,"476, KANDY ROAD, DALUGAMA",Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,,,,
ASGA INTERNATIONAL,"NO. 312/B/1, KANDY ROAD, KADAWATHA",Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,,,,
CLASSIC LANKA TRAVELS,"NO.95/2/1, LUWIS WIJERATHNA PLACE, KANDY ROAD, IMBULGODA",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
BUSINESS & LEISURE (PVT) LTD,"NO.379/1, GALLE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SKYMARK TRAVELS,"NO.1B, STAMBOUL PLACE, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
THE FILM TEAM (PVT) LTD,"NO.60, WALTER GUNASEKARA MAWATHA, NAWALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SUPER TAPROBANE TOURS (PVT) LTD,"NO. 36/12, DE SARAM ROAD, MOUNT LAVINIA",Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,,,,
JPS TOURS,"NO.18, MIHINDU MAWATHA, KURUNEGALA",Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,,,,
NATURE'S LINK TRAVEL & TOURS,"NO.86/610, SUMAGA MAWATHA, GABADAWATTA-2, PITIPANA - NORTH, HOMAGAMA",Colombo,Colombo,Homagama Divisional Secretariat,,,,
EASY TRAVELS CENTRE (PVT) LTD,"NO 1 1/1 DEANSTONE HOUSE ,DEANSTONE PLACE,COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RED FEATHER TRAVELS (PVT) LTD,"NO 45 A,THIMBIRIGASYAYA ROAD,THIMBIRIGASYAYA,COLOMBO 5",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TROPIC LANKA TRAVELS & TOURS (PVT) LTD,"NO:593,COLOMBO ROAD,LIYANAGEMULLA,SEEDUWA",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
SHAZI TOURS,"36,SOMANANDA RD,NEDIMALA,DEHIWALA",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
DITO LANKA PVT LTD,"22/3,PEARL VILLA,NAGAS JUNCTION,GALLE ROAD,KALUTHARA NORTH",Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,,,,
AUTUMN LANKA TRAVELS (PVT) LTD,"NO. 01ST FLOOR, CRYSTAL BUILDING, 299/3, GALLE ROAD, PANADURA",Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,,,,
BO-MIE TOURS,"#2-5,UDESHI CITY COMPLEX,94,MAKOLA ROAD,KIRIBATHGODA",Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,,,,
EAST WEST LEISURE (PVT) LTD.,"NO:12-01,EAST TOWER,WORLD TRADE CENTRE,COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ASIAN HORIZON TRAVELS (PVT) LTD,"LEVEL 6,MACLARENG BUILDING,BAUDDHALOKA MAWATHA,COLOMBO 4.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MIRACULOUS HOLIDAYS (PVT) LTD,"73/1/1,COLOMBO ROAD,PILIYANDALA",Colombo,Kesbewa,Kesbewa Divisional Secretariat,,,,
VILKA TRAVELS (PRIVATE) LTD,"83/2,DUTUGAMUNU STREET,KOHUWALA,SRI LANKA",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
SALLELANKA (PVT) LTD,"NO:199 D,KOTEGEDARA ROAD,MADAPATHA,PILIYANDALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ADVENTA HOLDINGS (PVT) LTD,"NO:763/14,PANNIPITIYA ROAD, BATTARAMULLA.",Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,,,,
XENIA ABODE SERVICES (PVT) LTD,"LEVEL 34,EAST TOWER,WORLD TRADE CENTER,COLOMBO 1",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SUNLINE TRAVELS AND TOURS (PVT) LTD,"NO:86 1/1,LEWIS PLACE,NEGAMBO",Gampaha,Negombo,Gampaha Divisional Secretariat,,,,
BERNARD TOURS (PVT) LTD.,"NO: 86-2/1,CHATHAM STREET,COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SERENDIB HOLIDAYS (PVT) LTD,"NO:86-2/1A,CHATHAM STREET,COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
UNIQUE TOURS,"NO:471/1 A,GALLE ROAD,MOUNT LAVINIA",Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,,,,
MELON KUGAR ASIA PVT LIMITED,"NO 7,WASALA ROAD,DEHIWALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HOUSE OF TRAVELS & TOURISM (PVT) LTD,"NO. 220, HIGH LEVEL ROAD, COLOMBO 06",Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,,,,
OFF 2 SRI LANKA,"NO 436/3A,HOKANDARA ROAD,HOKANDARA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SAVEN TRAVELS & TRADING (PVT) LTD,"NO:532/4A,NEW KANDY ROAD,THALANGAMA NORTH,BATTARAMULLA",Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,,,,
SUNWAY INTERNATIONAL (PVT) LTD,"NO:25,KIBULAPITIYA ROAD,NEGAMBO",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
PARADISE ESCAPADES(PVT)LTD,"55/51,10TH LANE SOUTH,WICKRAMASINGHEPURA.BATTARAMULLA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
BELLAGIO LEISURE (PVT)LTD,"727, KANDY ROAD, KELANIYA",Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,,,,
I.B.C TOURS (PVT) LTD,"NO:79,SHOPPING COMPLEX,NEW BUS STAND,NEGAMBO",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
QUEEN LANKA HOLIDAY TRAVELS & TOURS,"NO:176/38, THIBIRIGASYAYA RD,COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
H.I.S TRAVEL LANKA (PVT) LTD,"NO: 151,1ST FLOOR,GALLE ROAD,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AMASUN REISEN (PRIVATE) LIMITED,"NO:17,THUSARA MAWATHA,NEGAMBO",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
TROPICAL ESCAPES PVT LTD,"NO:296, D3,BATAGAMA SOUTH,KANDANA",Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,,,,
CHAALIYA TOURS (PRIVATE ) LIMITED,"NO:545/1,NUNGAMUGODA,KELANIYA",Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,,,,
CHORLA COMBINES,"NO. 68/7, CO-OPERATIVE BUILDING, HATTON",Nuwara Eliya,Nuwara Eliya,Ambagamuwa Divisional Secretariat,,,,
LANKA STAR HOLIDAYS (PVT) LTD,"NO:31/14,MEDHANKARA ROAD,DEHIWALA",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
LUMINI TRAVELS & TOURS,"NO:114,GALLE ROAD,MORATUWA",Colombo,Moratuwa,Moratuwa Divisional Secretariat,,,,
CAMLO LANKA TOURS(PVT)LTD,"NO. 52, LEVEL 02, GALLE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SPICELAND HOLIDAYS (PVT ) LTD,"174/3/3 2ND FLOOR,SAMPATH BANK BULDING,RAGAMA ROAD,KADAWATHA",Gampaha,Mahara Pradeshiya Sabha,Mahara Divisional Secretariat,,,,
N.F TRAVEL SERVICE,"NO:70/14 L.LUCKY PLAZA,S.T ANTHONY MAWATHA,COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ROYAL TRAVELS & TOURS,"NO:21/9,10,METHSIRIPAYA BUILDING,KURUNEGALA RD,KATUGASTOTA",Kandy,Kandy,Kandy Divisional Secretariat,,,,
AMPLE GROUP LANKA (PVT) LTD,"NO:390,2/1(2ND FLOOR),GALLE ROAD,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LAGODAN TRAVELS & TOURS (PVT) LTD,"NO:282,COLOMBO ROAD,DIVULAPITIYA,BORALESGAMUWA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
OSARA LANKA DESTINATIONS (PVT)LTD,"NO.61,ALEXANDRA PLACE,COLOMBO 7",Colombo,Jaffna,Colombo Divisional Secretariat,,,,
COUNTRY VACATIONS INTERNATIONAL LIMITED,"THE LANDMARK BULDING,NO 385,LEVEL 2,GALLE ROAD,KOLPETTY,COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TRAVEL DATA TOURS AND TRAVEL (PVT) LTD,"NO:9,SCHOOL LANE,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
DAREEN HOLIDAYS (PVT) LTD,"NO:7-2/6.ORCHARD SHOPPING COMPLEX,GALLE ROAD,COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
BOSPHORUS TRAVELS PVT LTD,"NO 02,DUDLY SENANAYAKA MAWATHA,COLOMBO 08",Colombo,Colombo,Colombo Divisional Secretariat,,,,
U & I HOLIDAYS (PVT) LTD,"NO:2C,CHARLES PLACE,DEHIWALA",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
CEYLON HOTELS CORPORATION PLC (TRAVEL BUREAU),"GALLE FACE HOTEL, NO: 02, GALLE ROAD, COLOMBO 03.",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
STARRON TOURS(PVT)LTD,"NO 01 DR.E.W ADIKARAM MW,PITAKOTTE",Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,,,,
NIHON LANKA HOLIDAY (PVT) LTD,"NO:233/3,RATHMALDENIYA ROAD,PANNIPITIYA",Colombo,Maharagama,Kesbewa Divisional Secretariat,,,,
PARADISE HOLIDAYS (PVT) LTD,"NO 06, CLIFFORD PLACE, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AUTHENTICITIES (PVT) LTD,"37/33, BULLERS LANE, COLOMBO 07",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SEASONS WORLDWIDE PVT LTD,"169,MAWANELLA ROAD,RAMBUKKANA-71100",Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,,,,
EXPECTATIONS (PVT) LTD,"NO. 363-10/2, PANNIPITIYA ROAD, THALAWATHUGODA",Colombo,Kotte Muncipal Council,Colombo Divisional Secretariat,,,,
KDU ADVENTURES PVT LTD,"ELB 01,6TH FLOOR,EAST LOW BLOCK,ECHELON SQUARE,COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TRADEWIND HOLIDAYS(PVT) LTD,"NO 59,WARD PLACE,COLOMBO 7",Colombo,Colombo,Colombo Divisional Secretariat,,,,
BEYOND ESCAPES (PVT) LTD,"164/C/2,NEW KANDY ROAD,KOTHALAWALA,KADUWELA.",Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,,,,
ROYAL PALM INTERNATIONAL TRAVEL PVT LTD,"NO 17,ROSMED PLACE,COLOMBO 07",Colombo,Colombo,Colombo Divisional Secretariat,,,,
CL SYNERGY TRAVELS (PVT) LTD,"NO.464 2/1, GALLE ROAD,COLOMBO-03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
UR TOUR SOLUTIONS,UR TOUR SOLUTIONS,Colombo,Colombo,Colombo Divisional Secretariat,,,,
FARHA TRAVELS,"86 A,WATARAPPALA ROAD,MT LAVINIA",Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,,,,
EXPERIOR TRAVELS PVT LTD,"NO. 182 C2/1, GALLE ROAD, MOUNT LAVINIA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AALAM INTERNATIONAL TOURS AND TRAVELS,"10/1,ARTHURS PLACE,COLOMBO 04.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
KHAKIYA TRAVELS & TOURS,"NO.60 B,GREEN LANE KOTAHENA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LUXURY TRAVEL GROUP (PVT) LTD,"375, 2ND FLOOR, R.A DE MEL MAWATHA,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
KANZULLAH HAJ TRAVELS,"KAPPITIGALA ROAD, RIDIGAMA, KURUNAGALA",Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,,,,
PEARL LANKA HOLDINGS(PVT) LTD,"6/3,LAURIES LANE,COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AL-HIKMA HAJ SERVICES (PVT) LTD,"NO.219,COLOMBO ROAD,KALUWELLA,GALLE.",Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,,,,
SUMMIT LANKA TRAVELS AND TOURS,"260,I.D.H ROAD,KOTIKAWATTA,ANGODA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
M TRAVELS (PVT)LTD,"NO:25, DEAL PLACE, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AL-HALEEM LANKA TRAVELS AND TOURS,"NO 71/5J-6/1 HIGH WAY COMPLEX,1ST FLOOR,NEW KANDY ROAD,MAWANELLA",Kegalle,Mawathagama Pradeshiya Sabha,Mawanella Divisional Secretariat,,,,
CITRUS VACATIONS LTD,"NO.7/5, GREGORY'S, ROAD, COLOMBO 07",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TROPICAL WAY TOURS,"NO 01,1ST STAGE,1ST FLOOR,SUPER MARKET,WENNAPUWA",Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,,,,
LEISURE CONCEPTS (PVT) LTD,"100,B 1/1,BARNES PLACE,COLOMBO 7",Colombo,Colombo,Colombo Divisional Secretariat,,,,
A B TRAVELS PVT LTD,"93 ALLAN AVENUE,DEHIWALA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GO TRAVEL LANKA (PVT) LTD,"NO 465 1/1,GALLE ROAD,COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RELAX HOLIDAYS PVT LTD,"108/1,EAST ROAD,AKKARAIPATTU 01,SRI LANKA",Ampara,AKKARAIPATTU,Akkaraipattu Divisional Secretariat,,,,
AMJA TRAVELS (PRIVAT) LIMITED,"NO.22, DIAS PLACE, GUNASINHAPURA, COLOMBO-12",Colombo,Colombo,Colombo Divisional Secretariat,,,,
WALLEM LANKA PVT LTD,"NO 171/4/1,KYNSEY ROAD,COLOMBO 8",Colombo,Colombo,Colombo Divisional Secretariat,,,,
OLANCOM PVT LTD,"660,GALLE ROAD,COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
CEYLON TRAVEL FACTORY PVT LTD,"NO 124,KANDY ROAD,MAHARA",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
V P PERERA TOURS AND TRAVELS PVT LTD,"NO 340,BLOMENDHAL ROAD,COLOMBO 13",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ACCRU HOLIDAYS PVT LTD,"63,EATHUKALA ROAD,NEGAMBO",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
RANRO TOURS,"NO 8A,STEPHAN PLACE,RAJAGIRIYA ROAD,RAJAGIRIYA",Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura,,,,
CEYLAN HOLIDAYS,"#126,1ST FLOOR,THIHARIYA,KALAGEDIHENA,",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
GREENLINK TOURS LANKA PVT LTD,"NO 14,CINNAMON LAKE SIDE,115,SIR CHITTAMPALAM A GARDINER MW,COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RAINBOW GLOBAL TRAVELS (PVT) LTD,"NO 97,MAIN STREET,BATTARAMULLA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ALOHIL TRAVELS AND TOURS PVT LTD,"LEVEL 2-30,REALTY PLAZA,COLOMBO ROAD,JA ELA",Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,,,,
HORIZON LEISURE SERVICES PVT LTD,"425/3 2/1,THIMBIRIGASYAYA ROAD,COLOMBO 05,SRI LANKA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
EAST N WEST ON BOARD PVT LTD,"65, THIRUCHENTOOR BEACH ROAD, KALLADY, BATTICALOA",Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,,,,
M.N TRAVELS AND TOURS,"17 B,2ND FLOOR,HORANA,BANDARAGAMA",Kalutara,Bandaragama Pradeshiya Sabha,Bandaragama Divisional Secretariat,,,,
DIAMOND LEISURE (PRIVATE) LIMITED,"NO. 40, COLOMBO ROAD, NEGOMBO",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
NAWAMINI TRAVELS (PRIVATE) LIMITED,"NO.128, 2ND FLOOR, MUHANDIRAM ROAD, COLOMBO-03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SAGA ISLAND VOYAGES PVT LTD,"30/1/1,DEHIWALA ROAD,BORALASGAMUWA",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
F.T.S. ISLAND HOLIDAYS PVT LTD,"128/1/1,THIMBIRIGASYAYA ROAD,COLOMBO 05",Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,,,,
LEADER TRAVELS AND TOURS (PVT) LTD,"NO 3/2,K.D DAVID MW,COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SB TRAVELS AND TOURS (PVT) LTD,"NO:324,ALUTHMAWATHA ROAD,COLOMBO - 15",Colombo,Colombo,Colombo Divisional Secretariat,,,,
U TRAVELS INTERNATIONAL PVT LTD,"132 1/1, KANDAWATTE ROAD, COLOMBO 05",Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,,,,
HOLIDAY LANKA EXPLORERS PVT LTD,"GALLE ROAD,EGODAMULLA,AHUNGALLA",Galle,Batticaloa,Batticaloa Divisional Secretariat,,,,
DETOUR PVT LTD,"NO 170 C,COLOMBO ROAD,WELIGAMPITIYA,JA ELA",Gampaha,Gampaha,Ja-Ela Divisional Secretariat,,,,
LEISURE ISLAND HOLIDAY TOURS PVT LTD,"13,3RD LANE,RAWATHAWATTA,MORATUWA",Colombo,Moratuwa,Moratuwa Divisional Secretariat,,,,
HT CEY LEISURE (PRIVATE) LIMITED,"NO. 175/27, LAKE VIEW DRIVE, NAWALA ROAD, NARAHENPITA, COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
