Name,Address,District,AGA Division,PS/MC/UC,,,,
THE TRAVELEX,"NO.74, 1ST FLOOR, SRI SANGARAJA MAWATHA, COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SONALY TOURS & TRAVELS (PVT) LTD,"NO. 89/20, JINADASA NANDASENA MAWATHA, KIRIBATHGODA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SILVER LINE TOURS (PVT) LTD,"NO.1012, MARADANA ROAD,BORELLA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
FAMICO TOURS & TRAVELS PRIVATE LIMITED,"NO.529 1/1, PERADENIYA ROAD, KANDY",Kandy,Kandy,Kandy Divisional Secretariat,,,,
CASONS TRAVELS (PVT) LTD,"NO.55B,ANANDA COOMARASWAMY MAWATHA,COLOMBO 03.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LANKAN HERITAGE & TOURS INTERNATIONAL (PVT) LIMITED,"NO.41, MINUWANGODA ROAD, EKALA, JA-ELA",Gampaha,Gampaha,Ja-Ela Divisional Secretariat,,,,
MODERN VOYAGES (PVT) LTD,"NO.173, VIJAYA KUMARANATHUNGA MAWATHA, COLOMBO 5",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SPRINT TRAVELS & TOURS,"NO.35, GALLE FACE COURT 01, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
CEYLON TOURS LIMITED,"NO 8 A, SIR ERNEST DE SILVA MAWATHA ,COLOMBO-03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ICT TRAVELS & TOURS (PVT) LTD,"NO.20, NELSON PLACE,COLOMBO 06",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SENOK TRAVEL (PVT)LTD,"NO259/1,GALLE ROAD ,COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat,,,,
THE BOTTOM LINE,"HOTEL TAJ SAMUDRA, NO.25, GALLE FACE CENTRE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
BUTTERFLIES (PVT) LTD,"NO. 104 A, TEMPLERS ROAD, MOUNT LAVINIA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GEM ISLAND TOURS & TRAVELS (PVT)LTD,"NO 07, GALLE FACE COURT 02,GALLE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TRAVEL SPACE (PVT) LIMITED,"NO.99/1, PERADENIYA ROAD, KANDY",Kandy,Kandy,Kandy Divisional Secretariat,,,,
TRAVELATIONS (PVT) LTD,"NO.01, EBERT PLACE, COLOMOBO 5",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GUWANA TRAVELS & TOURS (PVT) LTD,"NO.113/1, CHILLAW ROAD, KOLINJADIYA, WENNAPPUWA",Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,,,,
LANKA TRAVEL OPERATORS (PVT) LIMITED,"NO.104, YMBA BUILDING, FORT, COLOMBO 1",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GRAY MACKENZIE TRAVELS (PVT)LTD,"NO.46/38, 4TH FLOOR, FORBES BUILDING, NAWAM MAWATHA, COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TIME TRAVELS,"467,GALLE ROAD,WEWALA,HIKKADUWA",Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,,,,
CONTINENTS & OCEANS (PVT) LTD,"NO. 1A, UNITY PLACE, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LANKA VACATIONS (PVT) LTD,"NO 43, ST ANTHONYS MAWATHA, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LESLIE'S TOURS & TRAVELS (PVT) LTD,"NO. 149, 01ST FLOOR, LIBERTY PLAZA, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MOULANA TRAVELS & TOURS (PVT)LTD,"NO. 195, LEVEL 01, GALLE ROAD, BAMBALAPITIYA, COLOMBO 04",Colombo,Colombo,Colombo Divisional Secretariat,,,,
FOOTPRINTS HOLIDAYS,"NO.99/26 M, OLD D.R.O ROAD, KANDANA",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
SAFRA TRAVELS & TOURS (PVT) LTD,"FGL 04, DIAS PLACE, GUNASINGHEPURA, COLOMBO 12",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LANKA HOLIDAY DESTINATIONS (PVT) LTD,"NO.7, ROSMEAD PLACE, COLOMBO 7",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TRAVEL LOUNGE (PVT) LTD,"NO.2, 1/1, NELSON PLACE, COLOMBO 06",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HERMES INTERNATIONAL LTD,"NO.6, YORK STREET, COLOMBO 1",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LEGACY TRAVELS (PVT) LTD,"NO. 164 1/1, KESBEWA ROAD, BORALESGAMUWA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SILVER SHORE HOLIDAYS (PVT) LTD,"NO.103 B, POORWARAMA MAWATHA, COLOMBO 5",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GUIDING STAR HOLIDAYS,"NO.349/2, KORALAWELLA, MORATUWA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SPARKLINK HOLIDAYS & TOURS (PVT) LTD,"NO.39, ST MICHEALS ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ELEPHANT TRAVELS AND TOURS HOLDINGS (PVT) LTD,"NO.52, JAWATTA ROAD, COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
THE NEPPON ENTERPRISES (PVT) LTD,"NO. 9 A, MAURICE PLACE, ISIPATHANA MAWATHA, COLOMBO 5",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GOGO LANKA (PVT) LTD,"NO. 271/ D, GALLE ROAD, MOUNT LAVINIA",Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,,,,
